word,target_gt,01_zero_shot,03_few_shot_advance,02_few_shot,04_commentary_assisted,06_glossary_assisted
བདེ་གཤེགས་,5,4,4,3,5,2
སྲས་,3,5,2,5,6,4
འཇུག་པ་,3,2,2,3,4,2
སྔོན་ཆད་,3,3,3,3,4,2
བརྗོད་,5,3,3,4,8,7
མཁས་པ་,3,4,6,4,6,4
བདག་,19,10,9,12,16,18
ཡོད་མིན་,3,0,0,0,3,3
གཞན་དོན་,6,4,3,3,5,3
བསམ་པ་,9,7,6,6,7,5
མེད་,7,2,3,4,8,8
རང་གི་,5,4,4,5,3,3
ཡིད་,5,2,2,3,3,2
བརྩམས་,3,3,3,3,3,3
གཞན་,14,6,7,8,7,7
དོན་,14,9,10,8,11,10
དགེ་བ་,4,5,2,3,3,3
ཤུགས་,3,2,2,2,1,2
འཕེལ་,3,1,1,3,3,2
མཉམ་པ་,3,1,1,2,2,2
མཐོང་,7,3,4,3,8,6
འགྱུར་,9,3,6,5,6,4
ཕན་པ་,3,2,3,3,3,3
བསྒྲུབས་,4,1,3,3,4,6
རྙེད་པ་,5,5,5,5,5,4
སྐྱེས་བུ་,3,2,2,3,3,3
སྒྲུབ་,3,4,3,4,4,3
ཐོབ་པ་,3,3,3,3,3,3
སྐད་ཅིག་,3,2,2,2,3,2
སངས་རྒྱས་,4,3,4,5,3,3
མཐུ་,3,3,1,2,2,2
འཇིག་རྟེན་,6,5,5,5,8,6
འབྱུང་,4,3,2,4,6,5
དེ་བཞིན་,3,2,2,4,5,3
རྟག་,3,3,3,3,4,3
སྡིག་པ་,5,9,8,9,9,4
བྱང་ཆུབ་,10,2,3,1,2,3
སེམས་,13,3,4,5,5,4
དགེ་,3,1,2,1,3,1
སྐྱེ་བོ་,3,2,3,3,3,2
ཚོགས་,8,9,8,6,11,13
ཕན་པར་,3,2,2,2,2,2
སྡུག་བསྔལ་,15,7,3,5,5,5
གཞོམ་,5,5,3,5,6,6
སེམས་ཅན་,6,6,3,7,4,4
བདེ་,10,8,7,10,10,9
སྤྱོད་པ་,10,5,4,5,6,8
བྱང་ཆུབ་སེམས་,3,4,2,6,3,3
གཏང་,3,1,2,2,3,3
རྟག་ཏུ་,6,4,5,4,5,5
འཁོར་བ་,4,2,2,2,2,2
ཉམ་ཐག་,3,4,5,5,4,4
ལྷ་,4,1,3,1,4,2
མི་,6,5,6,6,7,6
མཆོག་,8,3,1,3,3,3
རིན་ཆེན་,5,5,6,5,5,6
མི་གཙང་,7,4,3,4,4,7
ལུས་,6,3,4,6,5,5
རྒྱལ་བ་,7,5,7,5,7,5
འགྲོ་བ་,14,4,5,6,9,8
བློ་,3,2,2,3,5,3
བརྟགས་,6,2,2,2,4,4
གནས་,13,18,17,19,22,20
བྲལ་བ་,5,3,3,3,3,2
འདོད་པ་,12,7,7,9,8,6
བརྟན་པ་,3,2,4,1,2,1
གཅིག་པུ་,5,3,4,3,5,3
འགྲོ་བའི་,5,1,1,1,2,5
འབྲས་བུ་,6,4,5,4,7,5
ལྗོན་ཤིང་,3,2,2,2,2,2
བརྟེན་,4,5,6,4,4,3
མི་བཟད་,4,2,1,2,1,2
འཇིགས་པ་,12,7,5,6,9,7
དཔག་ཏུ་མེད་པ་,3,2,2,2,2,3
ངེས་པར་,4,2,2,4,6,4
ཤེས་བྱ་,5,0,0,1,4,3
བྱེ་བྲག་,3,2,1,2,3,3
ཤེས་པ་,7,3,4,3,7,6
འདོད་,11,7,5,7,10,8
རྒྱུན་མི་འཆད་པར་,3,2,2,2,3,2
དེ་བཞིན་གཤེགས་པ་,3,3,3,3,2,2
གསུངས་,3,2,3,2,3,5
བསལ་,5,4,4,6,5,8
དཔག་མེད་,4,2,2,3,2,3
བསམས་,4,6,5,5,5,4
ཡོན་ཏན་,10,4,3,4,5,4
རྨི་ལམ་,3,2,1,2,3,2
སྔོན་,3,3,3,3,3,3
རང་,4,3,4,5,6,4
སྐྱེ་,7,6,7,5,9,7
གཞན་དག་,3,3,1,1,1,2
མི་འབྱུང་,3,2,1,2,2,1
ཁྱད་པར་,3,2,2,2,2,2
དགའ་བ་,11,7,3,8,7,6
རྒྱུ་,3,3,2,3,4,3
ཀུན་,5,2,3,2,3,3
མཆོད་,8,7,5,5,7,9
བརྩོན་པ་,6,4,4,5,5,5
འདོར་,5,3,4,3,4,3
བདེ་བ་,12,4,5,6,8,5
གཏི་མུག་,3,3,3,3,4,3
དགྲ་,4,3,2,4,4,5
འཇོམས་,5,3,4,3,3,3
བདེ་བ,3,2,2,2,2,2
མང་,4,2,2,2,2,3
བཤེས་,3,3,3,2,3,2
ལན་ལོན་,3,2,2,2,3,1
ཟས་,5,3,2,2,5,3
སྦྱོར་བ་,3,2,2,2,1,2
སྦྱིན་པ་,5,4,4,5,4,4
བྱེད་པ་,7,2,0,2,6,4
རྒྱལ་སྲས་,3,2,2,3,3,3
ཐུབ་པ་,3,3,2,3,4,3
གནས་པ་,7,7,6,7,7,7
སྐུ་,3,2,2,2,2,2
གནོད་པ་,14,3,5,3,5,6
རྒྱ་མཚོ་,3,2,2,2,2,2
མེ་ཏོག་,4,2,2,1,2,1
སྨན་,3,2,2,2,2,2
ཤིང་,5,2,2,2,2,4
རྒྱན་,5,1,2,1,3,3
དྲི་,5,4,4,5,4,4
སྤོས་,3,1,2,1,3,2
མཚོ་,3,2,2,2,2,2
ཡིད་འོང་,6,5,5,5,4,5
མེད་པ་,4,2,0,0,5,4
སྐྱེས་,7,2,2,3,5,4
ནོར་,4,2,2,2,2,3
མགོན་,3,2,3,2,2,3
རྒྱལ་,7,4,4,4,4,3
གུས་པས་,3,3,3,3,3,3
ས་གཞི་,3,1,2,1,2,2
གོས་,6,4,5,5,5,4
དྲི་ཞིམ་,4,2,2,2,3,3
ཐམས་ཅད་,6,4,2,4,5,6
བསྟོད་དབྱངས་,4,3,2,1,3,2
རང་བཞིན་,4,6,3,4,6,6
བལྟ་,3,5,3,4,3,4
སོ་སོར་,3,2,2,0,2,2
ཆར་,4,2,2,1,2,2
མགོན་པོ་,4,2,2,2,3,4
ཡན་ལག་,4,2,2,2,4,2
ཆོས་,5,4,4,5,4,5
རྡུལ་,3,0,0,0,4,3
བརྟུལ་ཞུགས་,3,2,2,2,3,2
བཞུགས་པ་,3,2,2,2,3,3
ཐལ་མོ་སྦྱར་,3,3,3,3,2,3
གསོལ་བ་,3,3,3,3,2,2
ཕྱོགས་,4,2,3,2,2,2
བླ་མ་,3,4,2,4,3,2
ཉོན་མོངས་,7,5,5,6,7,4
ངག་,4,2,2,3,2,4
གནོད་,10,5,2,5,6,6
ཉེས་པ་,6,2,2,2,3,4
འདྲེན་པ་,3,2,2,2,3,2
སྐྱོན་,3,4,4,4,6,4
ཐར་བ་,3,1,2,2,4,2
གསོལ་,3,2,0,1,0,1
བྱས་,3,3,1,3,5,2
གློ་བུར་,5,3,3,2,3,3
ཚེ་,3,1,1,1,1,2
བོར་,3,1,1,1,1,2
ཤེས་,10,6,7,5,14,7
མཛའ་,3,3,3,3,2,3
འདས་,5,3,3,2,5,5
ཆགས་,6,2,2,2,2,2
ཞེ་སྡང་,4,3,2,2,3,2
ཚོར་བ་,3,3,2,2,5,4
བདག་ཉིད་,9,4,4,4,8,7
མྱོང་བ་,3,2,1,2,2,2
གཉེན་,4,2,2,2,3,4
བསྟེན་,4,6,4,6,5,3
མི་རྟག་,4,2,1,1,1,1
མང་པོ་,3,2,1,2,2,1
ས་,3,4,6,4,3,6
མིག་,5,3,1,2,2,2
བཟུང་,4,4,3,3,5,4
ནད་,6,4,2,4,4,5
བདག,3,1,1,0,3,1
སྐྲག་པས་,3,2,2,2,2,2
ཐུགས་རྗེ་,3,1,3,2,2,3
མྱུར་དུ་,3,2,2,2,2,2
འཇིགས་,7,5,5,5,7,8
སྨན་པ་,4,4,4,3,4,3
གཅིག་,3,3,2,3,4,4
རྙེད་,9,5,6,7,11,9
སེམས་པ་,8,4,5,4,10,4
ཆུང་ངུ་,6,2,3,2,7,4
ཡུན་རིང་,3,2,4,4,5,3
བདེ་བར་,5,3,2,2,3,3
བྱིན་,4,2,3,2,4,2
ཐར་,4,2,2,2,2,2
མྱོང་,4,4,3,3,3,3
སྤངས་,6,2,2,3,3,3
འགྲོ་,8,6,6,6,7,7
མི་ཤེས་,3,2,2,3,4,4
གཟུང་,5,1,1,2,3,3
དགའ་བས་,3,1,1,3,2,3
ལུས་ཅན་,6,4,3,4,4,4
མྱ་ངན་འདའ་,3,2,2,1,3,3
ནད་པ་,5,3,3,2,3,3
ལོངས་སྤྱོད་,3,2,1,2,2,2
མྱ་ངན་,3,1,2,2,6,1
སྨོད་པ་,3,3,2,2,2,3
བདག་གི་,3,3,2,3,3,3
ལས་,11,6,8,7,9,8
བྱེད་,5,0,5,3,9,5
དམིགས་,3,1,1,2,5,2
དོན་མེད་,6,8,6,7,7,8
ཁྲོ་,6,3,2,3,3,2
འབྱུང་བ་,4,1,1,2,2,4
བསྐྱེད་པ་,4,2,2,2,2,3
བསླབ་པ་,5,4,5,4,7,3
བསྐྱེད་,6,5,4,7,5,8
བྱ་བ་,4,2,2,3,4,4
ཐོབ་,3,2,3,3,5,4
རིགས་,6,3,2,3,5,4
རྙེད་པ,3,3,2,5,1,4
སེལ་བ་,3,1,3,2,3,2
ཞི་བྱེད་,4,1,1,1,1,4
གདུང་,3,2,2,3,4,2
བྱུང་བ་,6,4,4,5,7,8
ལམ་,4,3,3,2,3,3
བརྟན་,4,2,3,3,2,2
འབད་པ་,3,2,2,1,1,3
བརྩམས་པ་,3,2,2,2,2,2
བརྟགས་པ་,5,3,3,3,2,3
